[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.002062s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008961s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.002713s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.012515s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.001672s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008966s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.002786s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010163s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.002328s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.018338s ]
[ 2012-05-26T06:18:09+08:00 ] /myfcms/ | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.001290s ]
